product_key,variant_key,sku,options_json,price,image_key
sinh-to-gold-oi-bgkq-0034,sinh-to-gold-oi-bgkq-0034-default,BGKQ-0034,"{""flavor"": ""oi"", ""package"": ""Thung 12 chai""}",105000,bgkq-0034
sinh-to-gold-dau-tam-bgkq-0035,sinh-to-gold-dau-tam-bgkq-0035-default,BGKQ-0035,"{""flavor"": ""dau tam"", ""package"": ""Thung 12 chai""}",100000,bgkq-0035
sinh-to-mang-cau-glod-bgkq-0036,sinh-to-mang-cau-glod-bgkq-0036-default,BGKQ-0036,"{""flavor"": ""mang cau"", ""package"": ""Thung 12 chai""}",117000,bgkq-0036
sinh-to-vai-glod-bgkq-0037,sinh-to-vai-glod-bgkq-0037-default,BGKQ-0037,"{""flavor"": ""khac"", ""package"": ""Thung 12 chai""}",122000,bgkq-0037
sinh-to-gol-nho-bgkq-0038,sinh-to-gol-nho-bgkq-0038-default,BGKQ-0038,"{""flavor"": ""nho"", ""package"": ""Thùng12 chai""}",103000,bgkq-0038
sinh-to-vina-vai-bgkq-0040,sinh-to-vina-vai-bgkq-0040-default,BGKQ-0040,"{""flavor"": ""vai"", ""package"": ""THÙNG 12 CHAI"", ""size"": ""1L""}",76000,bgkq-0040
sinh-to-vina-viet-quoc-bgkq-0041,sinh-to-vina-viet-quoc-bgkq-0041-default,BGKQ-0041,"{""flavor"": ""viet quoc"", ""package"": ""THÙNG 12 CHAI"", ""size"": ""1L""}",98000,bgkq-0041
sinh-to-vina-dau-bgkq-0042,sinh-to-vina-dau-bgkq-0042-default,BGKQ-0042,"{""flavor"": ""dau"", ""package"": ""THÙNG 12 CHAI"", ""size"": ""1L""}",70000,bgkq-0042
sinh-to-vina-mang-cau-bgkq-0043,sinh-to-vina-mang-cau-bgkq-0043-default,BGKQ-0043,"{""flavor"": ""mang cau"", ""package"": ""THÙNG 12 CHAI"", ""size"": ""1L""}",80000,bgkq-0043
sinh-to-vina-kiwi-bgkq-0044,sinh-to-vina-kiwi-bgkq-0044-default,BGKQ-0044,"{""flavor"": ""kiwi"", ""package"": ""THÙNG 12 CHAI"", ""size"": ""1L""}",82000,bgkq-0044
sinh-to-vina-chanh-day-bgkq-0045,sinh-to-vina-chanh-day-bgkq-0045-default,BGKQ-0045,"{""flavor"": ""chanh day"", ""package"": ""THÙNG 12 CHAI"", ""sell_unit"": ""CHIA"", ""size"": ""1L""}",72000,bgkq-0045
sinh-to-vina-oi-bgkq-0046,sinh-to-vina-oi-bgkq-0046-default,BGKQ-0046,"{""flavor"": ""oi"", ""package"": ""THÙNG 12 CHAI"", ""size"": ""1L""}",70000,bgkq-0046
sinh-to-vina-dao-bgkq-0047,sinh-to-vina-dao-bgkq-0047-default,BGKQ-0047,"{""flavor"": ""dao"", ""package"": ""THÙNG 24 CHAI"", ""size"": ""650g""}",45000,bgkq-0047
sinh-to-vina-viet-quoc-bgkq-0048,sinh-to-vina-viet-quoc-bgkq-0048-default,BGKQ-0048,"{""flavor"": ""viet quoc"", ""package"": ""THÙNG 24 CHAI"", ""size"": ""650g""}",60000,bgkq-0048
sinh-to-vina-dau-bgkq-0049,sinh-to-vina-dau-bgkq-0049-default,BGKQ-0049,"{""flavor"": ""dau"", ""package"": ""THÙNG 24 CHAI"", ""size"": ""650g""}",45000,bgkq-0049
sinh-to-vina-oi-bgkq-0050,sinh-to-vina-oi-bgkq-0050-default,BGKQ-0050,"{""flavor"": ""oi"", ""package"": ""THÙNG 24 CHAI"", ""size"": ""650g""}",45000,bgkq-0050
duongden-black-1-lit-bgkq-0051,duongden-black-1-lit-bgkq-0051-default,BGKQ-0051,"{""package"": ""THÙNG 12 CHAI"", ""sell_unit"": ""binh"", ""size"": ""1lit""}",76000,bgkq-0051
duongden-black-2-lit-bgkq-0052,duongden-black-2-lit-bgkq-0052-default,BGKQ-0052,"{""package"": ""THÙNG 6 BÌNH"", ""sell_unit"": ""binh"", ""size"": ""2lit""}",142000,bgkq-0052
duong-den-a-bgkq-0053,duong-den-a-bgkq-0053-default,BGKQ-0053,"{""package"": ""THÙNG 24 CHAI""}",27000,bgkq-0053
duong-den-monita-bgkq-0054,duong-den-monita-bgkq-0054-default,BGKQ-0054,"{""package"": ""bao 16kg"", ""sell_unit"": ""bịch"", ""type"": ""den""}",62000,bgkq-0054
duong-nau-monita-bgkq-0055,duong-nau-monita-bgkq-0055-default,BGKQ-0055,"{""package"": ""bao 16kg"", ""sell_unit"": ""bịch"", ""type"": ""nau""}",45000,bgkq-0055
duong-den-dai-loan-tui-bac-bgkq-0056,duong-den-dai-loan-tui-bac-bgkq-0056-default,BGKQ-0056,"{""package"": ""Thùng 12kg"", ""sell_unit"": ""bịch""}",53000,bgkq-0056
duong-den-mola-bgkq-0057,duong-den-mola-bgkq-0057-default,BGKQ-0057,"{""package"": ""thùng 12 chai""}",82000,bgkq-0057
duong-den-euro-deli-bgkq-0058,duong-den-euro-deli-bgkq-0058-default,BGKQ-0058,"{""package"": ""Thùng 6 bình""}",280000,bgkq-0058
duong-den-douxian-bgkq-0059,duong-den-douxian-bgkq-0059-default,BGKQ-0059,"{""package"": ""Thùng 6 bình""}",126000,bgkq-0059
duong-den-falu-bgkq-0060,duong-den-falu-bgkq-0060-default,BGKQ-0060,"{""package"": ""THÙNG 6 BÌNH""}",193000,bgkq-0060
duong-nuoc-deasang-bgkq-0061,duong-nuoc-deasang-bgkq-0061-default,BGKQ-0061,"{""package"": ""thung 25kg"", ""sell_unit"": ""thùng""}",545000,bgkq-0061
siro-douxian-a-bgkq-0062,siro-douxian-a-bgkq-0062-default,BGKQ-0062,"{""package"": ""Thùng 24 chai""}",27000,bgkq-0062
tc-duong-den-duoxian-1kg-bgkq-0063,tc-duong-den-duoxian-1kg-bgkq-0063-default,BGKQ-0063,"{""package"": ""Thùng 18 gói"", ""sell_unit"": ""bịch"", ""size"": ""1kg"", ""type"": ""duong-den""}",30000,bgkq-0063
tc-duong-den-duoxian-2kg-bgkq-0064,tc-duong-den-duoxian-2kg-bgkq-0064-default,BGKQ-0064,"{""package"": ""Thùng 10 gói"", ""sell_unit"": ""bịch"", ""size"": ""2kg"", ""type"": ""duong-den""}",54000,bgkq-0064
tc-duong-den-duoxian-3kg-bgkq-0065,tc-duong-den-duoxian-3kg-bgkq-0065-default,BGKQ-0065,"{""package"": ""Thùng 6 gói"", ""sell_unit"": ""bịch"", ""size"": ""3kg"", ""type"": ""duong-den""}",94000,bgkq-0065
tc-hoang-kim-duoxian-1kg-bgkq-0066,tc-hoang-kim-duoxian-1kg-bgkq-0066-default,BGKQ-0066,"{""package"": ""Thùng 18 gói"", ""sell_unit"": ""bịch"", ""size"": ""1kg"", ""type"": ""hoang-kim""}",30000,bgkq-0066
tc-hoang-kim-duoxian-3kg-bgkq-0067,tc-hoang-kim-duoxian-3kg-bgkq-0067-default,BGKQ-0067,"{""package"": ""Thùng 6 gói"", ""sell_unit"": ""bịch"", ""size"": ""3kg"", ""type"": ""hoang-kim""}",94000,bgkq-0067
tc-cafe-gia-uy-mini-bgkq-0068,tc-cafe-gia-uy-mini-bgkq-0068-default,BGKQ-0068,"{""package"": ""Thùng 10 gói"", ""sell_unit"": ""bịch"", ""type"": ""cafe-mini""}",55000,bgkq-0068
tc-duong-den-gia-uy-bgkq-0069,tc-duong-den-gia-uy-bgkq-0069-default,BGKQ-0069,"{""package"": ""Thùng 10 gói"", ""sell_unit"": ""bịch"", ""type"": ""duong-den""}",57000,bgkq-0069
tc-trang-gia-uy-bgkq-0070,tc-trang-gia-uy-bgkq-0070-default,BGKQ-0070,"{""package"": ""Thùng 10 gói"", ""sell_unit"": ""bịch"", ""type"": ""trang""}",59000,bgkq-0070
tc-cafe-gia-uy-bgkq-0071,tc-cafe-gia-uy-bgkq-0071-default,BGKQ-0071,"{""package"": ""Thùng 10 gói"", ""sell_unit"": ""bịch"", ""type"": ""cafe""}",55000,bgkq-0071
tc-minh-hanh-1-kg-kunhan-bgkq-0072,tc-minh-hanh-1-kg-kunhan-bgkq-0072-default,BGKQ-0072,"{""package"": ""Thùng 20 gói"", ""sell_unit"": ""bịch"", ""size"": ""1kg"", ""type"": ""minh-hanh""}",25000,bgkq-0072
tc-dd-kuhan-2kg-bgkq-0073,tc-dd-kuhan-2kg-bgkq-0073-default,BGKQ-0073,"{""package"": ""Thùng 10 hộp"", ""size"": ""2kg"", ""type"": ""duong-den""}",52000,bgkq-0073
tc-dd-kuhan-3kg-bgkq-0074,tc-dd-kuhan-3kg-bgkq-0074-default,BGKQ-0074,"{""package"": ""Thùng 20 gói"", ""sell_unit"": ""HỘP"", ""size"": ""3kg"", ""type"": ""duong-den""}",78000,bgkq-0074
3q-bibi-trang-bgkq-0075,3q-bibi-trang-bgkq-0075-default,BGKQ-0075,"{""color"": ""trang"", ""package"": ""Thùng 6 gói""}",50000,bgkq-0075
3q-bibi-den-bgkq-0076,3q-bibi-den-bgkq-0076-default,BGKQ-0076,"{""color"": ""den"", ""package"": ""Thùng 6 gói""}",52000,bgkq-0076
3q-sea-trang-bgkq-0077,3q-sea-trang-bgkq-0077-default,BGKQ-0077,"{""color"": ""trang"", ""package"": ""Thùng 6 gói"", ""sell_unit"": ""bịch""}",48000,bgkq-0077
3q-sea-den-bgkq-0078,3q-sea-den-bgkq-0078-default,BGKQ-0078,"{""color"": ""den"", ""package"": ""Thùng 6 gói"", ""sell_unit"": ""bịch""}",50000,bgkq-0078
3q-zion-trang-bgkq-0079,3q-zion-trang-bgkq-0079-default,BGKQ-0079,"{""package"": ""Thùng 6 gói"", ""sell_unit"": ""bịch""}",50000,bgkq-0079
3q-ok-trang-bgkq-0080,3q-ok-trang-bgkq-0080-default,BGKQ-0080,"{""package"": ""Thùng 6 gói"", ""type"": ""trang""}",55000,bgkq-0080
3q-ok-olong-bgkq-0081,3q-ok-olong-bgkq-0081-default,BGKQ-0081,"{""package"": ""thung 6 goi"", ""type"": ""olong""}",63000,bgkq-0081
3q-douxian-hu-bgkq-0082,3q-douxian-hu-bgkq-0082-default,BGKQ-0082,"{""package"": ""Thùng 6 hủ""}",70000,bgkq-0082
